Name,Description
Line of death,"(Command) Increase Strength and Magic by 7, and reduce Defense and Resistance by 7. Both stats restore to normal at the standard debuff rate."
Live To Serve,"When healing with a staff, restore own HP equal to damage healed."
Locktouch,Able to open doors and chests.
Luck +,Grants +4 Lck.
Lucktaker,"After ending a battle as the primary unit in player or enemy phase, gain +1 luck. Caps at +12. Unit starts at +4 luck."
Lucky Seven+,Grants to user +7 to their 7 non-hp stats for the first 7 turns.
Luna,(Skill*0.75) Negates half of enemy's Defense and Resistance.
Lunge,"(Command) After attacking, swap to any space adjacent to your opponent, or trade spaces with your opponent."
Magic +,Grants +2 Mag.
Magnanime,Grants allies within two spaces +2 Res/Def
Malefic Aura,Enemies within 2 spaces have -2 Res.
Marshalling,"When this unit uses the 'Refresh' skill, it affects all allied units within 2 tiles."
Mastery,"The user always has WTA, except against weapon types removed from the Weapons Triangle"
Miracle,(Luck*2) Survive a lethal blow with 1 HP remaining. Cannot activate if at 1 HP.
Movement +,Grants +1 Mov.
Multiscale,Damage reduced by 2 against an enemy with full health. Applies only during enemy phase.
Natural Cover,Grants +3 Defense/Resistance when fighting on terrain with terrain bonuses.
Odd Shaped,Increases Atk by 3 on odd numbered turns.
Omen,Extends the maximum range of the user's equipped tome weapon to 10
Parry,Gain +10 atk when attacked
Pas de Meulage,Battles with this unit do not grant EXP/WEXP/Ore and any Support Points gained in battes with this unit are voided.
Pass,Allows movement through enemy units. Deal 20% Max Health damage to every enemy unit passed through.
Pavise,"(Skill) Halve damage taken from Swords, Lances, Axes, and Beaststones."
Point Blank,Lowers the minimum range of the user's equipped bow weapon to 1
Poison Strike,"After initiating combat, deal damage equal to 20% of opponents max HP."
Potent Potion,Restoratives and tonics effects are increased by 2x when used on self. Allows use of restoratives and tonics on adjacent allies.
Preparation,"After choosing to wait, Speed +2 and Defense +2 until next turn."
Profiteer,Unit earns (Luck at the start of Turn 1)*2% bonus to all gold earned during the chapter.
Quick Salve,Applying restoratives and tonics is only a free action.
Quick Draw,Grants +4 Atk during player phase.
Quixotic,(Command) Skill activation rates are increased by +15% for both primary player and enemy unit.
Quixotic+,(Always) Skill activation rates are increased by +15% for both primary player and enemy unit.
Rally Defense,Grants all allies within 2 tiles +4 Defense for one turn.
Rally Luck,Grants all allies within 2 tiles +8 Luck for one turn.
Rally Magic,Grants all allies within 2 tiles +4 Magic for one turn.
Rally Movement,Grants all allies within 2 tiles +2 Movement for one turn.
Rally Resistance,Grants all allies within 2 tiles +4 Resistance for one turn.
Rally Skill,Grants all allies within 2 tiles +6 Skill for one turn.
Rally Spectrum,Grants all allies within 2 tiles +2 to all stats (other than Movement) for one turn.
Rally Speed,Grants all allies within 2 tiles +4 Speed for one turn.
Rally Strength,Grants all allies within 2 tiles +4 Strength for one turn.
Refresh,Allows one adjacent unit to regain their turn.
Rejuvenation,"Able to combine the use of a Heal, Mend, Restore, Bloom Festal or Sun Festal with Refreshing."
Relief,Restores 25% of max HP when no allied units are within 2 spaces.
Rend Heaven,(Skill*1.25) Add half of opponents Str or Mag to Atk.
Renewal,Restores 25% of total HP during the start of player phase.
Replicate,Create replica avatar with identical stats and items to user. Consumes turn. Max one. EXP gained by the replica is granted to its user. Unit shares HP with Replica. Can deconstruct Replica as a free action while adjacent.
Resistance +,Grants +2 Res.
Savage Blow,Deals damage to all enemies within 2 tiles (of user) equal to 20% of their max HP after initiating combat.
Savage Riposte,Deals damage to all enemies within 2 tiles (of user) equal to 20% of their max HP after being attacked.
Seal Defence,Reduces opponent's Def by 6 after battle.
Seal Luck,"Reduces opponent's Luck by 12 after battle. The debuff recovers at 2/turn, rather than 1/turn."
Seal Magic,Reduces opponent's Magic by 6 after battle.
Seal Power,Reduces opponents Strength and Magic by 6 after battle.
Seal Precision,Reduces opponent's Skill by 8 and Luck by 8 after battle.
Seal Resistance,Reduces opponent's Res by 6 after battle.
Seal Skill,Reduces opponent's Skill by 9 after battle.
Seal Speed,Reduces opponent's Speed by 6 after battle.
Seal Strength,Reduces opponent's Strength by 6 after battle.
Shadow Strike,(Skill) Strike one more time after the the last round of combat.
Shelter,Force an adjacent allied unit to Pair Up with you.
Shielding Riposte,Take -2 damage when attacked
Shurikenbreaker,Grants +50 hit and avoid against Shurikens.
Shurikenfaire,Grants +5 Atk when wielding a Knife/Shuriken.
Skill +,Grants +3 Skl.
Skilltaker,"After ending a battle as the primary unit in player or enemy phase, gain +1 skill. Caps at +10. Unit starts at +2 skill."
Sol,(Skill) Restores HP equal to half damage dealt.
Solidarity,Grants adjacent allies and any paired up unit Avoid and Critical Evade +15.
Soulfire,(Skl*0.75) Add half of current HP to Atk.
Speed +,Grants +2 Spd.
Speedtaker,"After ending a battle as the primary unit in player or enemy phase, gain +1 speed. Caps at +8."
Staff-faire,"Grants +1 Range to all staves/rods, +5 HP healed, and +10 hit"
Strength +,Grants +2 Str.
Strong Riposte,Grants +3 Atk on enemy phase.
Subtle Encouragement,Allies within 2 tiles and the user gain +1 Speed.
Swap,"(Command) Swap places with an adjacent friendly unit. Can be used multiple times in a row, with each time after the first costing 1 Mov. Can use any action after swapping, besides attacking."
Swordbreaker,Grants +50 hit and avoid against Swords.
Swordfaire,Grants +5 Atk when wielding a Sword/Katana.
Tactical Advice,"When supporting, grants Hit +20 to primary and secondary unit. "
Temore's Shield,Negates flier weakness.
Tomebreaker,Grants +50 hit and avoid against Tomes.
Tomefaire,Grants +5 Atk when wielding a Tome/Scroll.
Toss,"(Command) Throw a friendly unit away up to Str/6 tiles away. Units cannot be thrown through tiles no unit can cross. Unit must land on viable, empty tile."
Trample,Damage +4 against unmounted units.
Underdog,Grants +15 Hit/Avo when unit's level below enemy Level. +5 Hit/Avo when unit's level equal to enemy level.
Vantage,"When under half HP, always strike first."
Vengeance,(Skill*1.5) Add half of current missing HP to Atk.
Veteran's Intuition,Grants +15 Critical Evade.
Voice Of Peace,Enemy units within 2 spaces have -2 Str/Mag/Def/Res.
Vulnerability,"When there are no units within 2 tiles that act in the same phase as the target, damage dealt +5."
Warding Blow,Grants +15 Resistance during player phase.
Warp,Warp adjacent to an ally within a range of [Mag/3] spaces away. Replaces this unit's move action.
Wary Fighter,(Command) User cannot double and cannot be doubled. Lasts until the beginning of the next Player Phase
Witch's Brew,Each stat has a (base luck)% chance to be toniced at the beginning of the chapter.
Wings of Mercy,Warp adjacent to an ally under 50% within a range of [Lck/2] spaces away. Replaces this unit's move action.
Wyrmsbane,Grants effective damage against dragon units (x2).
Certain Riposte,60 to hit when attacked
Lifetaker+,Ask Appa
Warding Riposte,Ask the GM
Armored Riposte,Just ask Appa
Hone Armor,I don't know
Goad Armor,I really don't know
Guidance,Not the D&D spell
Quick Riposte,Unknown
Nihil,Exactly what you expect
Fortune,Not quite sure what this is
Ward Armor,Like Warding Riposte
